2018-04-10T22:23:47Z,Instagram、フォロー用画像を生成するNametagsテスト中――他の新機能もまもなく公開,InstagramはFocusと呼ばれる新しいポートレートモードなどの機能を準備しているが、さらにフォロー用画像を生成するNametagsをテスト中だ。この画像をInstagramのカメラでスキャンすると、すぐにその相手をフォローできる。TechCrunchでは先月、,https://jp.techcrunch.com/2018/04/11/2018-04-09-instagram-nametags/,Josh Constine
2018-04-10T18:03:20Z,FIDOアライアンスおよびW3C、「パスワード」無用の仕組みを提案,「パスワード」という仕組みは、非常に脆弱だ。極端にいってしまえば、セキュリティ対策としては「意味のない」仕組みであるということに、多くの人が同意してくれることだろう。しかし、われわれは依然としてパスワードに頼りきって生活している。パスワードは、覚えておく利用者自身にも負担になる…,https://jp.techcrunch.com/2018/04/11/2018-04-10-fido-alliance-and-w3c-have-a-plan-to-kill-the-password/,Ron Miller
2018-04-10T09:27:13Z,メインフレームも今では痩身のマシン、IBMがエントリーレベルのZシリーズをアップデート,メインフレームといえば、何百万ドルもする巨大なハードウェアで、家具としても使えるようなコンピューターを連想するだろう。しかしそのイメージを変えたいIBMはこのほど、同社の,https://jp.techcrunch.com/2018/04/10/2018-04-09-ibm-updates-its-skinny-mainframe-lineup/,Frederic Lardinois
2018-04-10T08:49:24Z,LINE対抗のチャットアプリ「+メッセージ」、3キャリアが5月9日配信,NTTドコモ・KDDI・ソフトバンクの3キャリアは4月10日、共同で記者会見を開催。3キャリア共通のメッセージングサービス「+メッセージ」を発表しました。…,https://jp.techcrunch.com/2018/04/10/engadget-line-3-5-9/,Engadget Japanese
2018-04-10T08:28:21Z,急増が続く国内の仮想通貨取引量、17年度は証拠金・信用・先物取引で56兆円超え,コインチェックの買収を始め、2018年に入ってからも「仮想通貨」業界の話題は絶えない。直近では内部管理態勢の不備などを原因とした…,https://jp.techcrunch.com/2018/04/10/fsa-singi-0410/,masumi ohsaki
2018-04-10T08:17:19Z,マネーフォワード、ソフトウェアテストのSHIFTと共同で新サービス――IT業界の資金繰り改善めざす,MF KESSAIは4月16日、ソフトウェアの品質保証を手がける,https://jp.techcrunch.com/2018/04/10/moneyfoward-shift/,Takuya Kimura
2018-04-10T07:56:20Z,Conserve the Soundは、古いテーププレーヤー、スライドプロジェクターといった、失われた技術の音のアーカイブだ,"<div class=""article__featured-image-wrapper breakout""></div><div class=""article-content"">私たちの多くが、現在目の前にあるものとは異なるテクノロジーと共に育った。そして多くの人たちが、そうした古いデバイスたちを懐かしさと共に振り返るのだ。しかし、最初のカシオのキーボードの音、またはダイヤル式電話の回る音などを正確に思い出せるだろうか？",https://jp.techcrunch.com/2018/04/10/2018-04-09-conserve-the-sound-is-an-archive-of-noises-from-old-tape-players-projectors-and-other-dying-tech/,Devin Coldewey
2018-04-10T05:37:47Z,これがマーク・ザッカーバーグの議会証言の草稿だ,水曜日（米国時間4/11）に予定されているの公聴会に先立ち、下院エネルギー・商業委員会はFacebook CEOの準備された声明文を公開した。その中でZuckerberg…,https://jp.techcrunch.com/2018/04/10/2018-04-09-this-is-mark-zuckerbergs-prepared-statement-for-congress/,Jordan Crook
2018-04-10T05:35:53Z,ITで建設業界の「人」と「お金」の課題解決へ、ローカルワークスが住友林業などから約2.1億円を調達,建設・リフォーム業界の課題解決に向けて複数のサービスを展開する住友…,https://jp.techcrunch.com/2018/04/10/localworks-fundraising/,masumi ohsaki
2018-04-10T04:37:16Z,Skypeの通話をコンテンツにできる（録画、ストリーミング、他での利用、等）モード登場,Microsoftはポッドキャストやビデオの人気に乗じて、コンテンツの作者にとってのSkypeの魅力を高めようとしている。同社が今テストしている“Skype for Content Creators”というモードでは、今使っているSkypeそのものの能力で、通話中にビデオなどのコンテンツを入れたり、あるいは逆に通話を録音録画できる。また、通話中のビデオや音声をライブでストリーミングしたり、ほかのアプリケーションにインポートして編集しポストする、などのことができる。この機能は現在“プレビュー”で、一部の選ば…,https://jp.techcrunch.com/2018/04/10/2018-04-06-skype-targets-podcasters-and-live-streamers-with-a-new-feature-for-recording-video-calls/,Hiroshi Iwatani
2018-04-10T02:57:53Z,Apple、全世界の施設で100%クリーンエネルギー化を完了,先週Appleは、オバマ政権時代のクリーンパワー計画に対する環境保護庁の撤廃案に反意を表明した。同社は計画の撤廃が環境に影響を与えることが明白であるだけでなく、経済にも悪影響も与えることを指摘している。実際、Appleは後者に関連して多大な投資をしてきた…,https://jp.techcrunch.com/2018/04/10/2018-04-09-apple-says-its-global-facilities-are-now-powered-by-100-percent-clean-energy/,Brian Heater
